Typ;Nr.;Name;d;X;Y;latitude;longitude;Untergeordnete Exportnummer;HAFAS Nr.
Zwischenpunkt;56;Bahnsteig S1/2/25 (Aufzug zur Ladenstraße);-3;4594350;5821680;52.520.092;13.388.488;9702056;
Zugang;9;Zugang (Ladenstraße) Tränenpalast;0;4594236;5821735;52.520.606;13.386.824;9702009;
Zwischenpunkt;39;Zwischengeschoss Spreeufer (Rolltreppe zum Bahnsteig S1/2/25);-1;4594350;5821679;52.520.083;13.388.488;9702039;
Zugang;10;Zugang (Ladenstraße) Tränenpalast/Taxistand;0;4594289;5821720;52.520.462;13.387.601;9702010;
Zwischenpunkt;72;Ladenstraße (Aufzug zum Bahnsteig S1/2/25);0;4594350;5821680;52.520.092;13.388.488;9702072;
Zwischenpunkt;76;Ladenstraße (Aufzug zum Bahnsteig Gleis 1/2);0;4594349;5821680;52.520.092;13.388.473;9702076;
Zwischenpunkt;105;Zwischengeschoss Ladenstraße (Treppe Friedrichstraße);1;4594349;5821680;52.520.092;13.388.473;9702105;
Zwischenpunkt;70;Durchgang (Treppe zum Bahnsteig S5/7/75/3);0;4594349;5821679;52.520.083;13.388.473;9702070;
Zugang;22;Zugang (Ladenstr.) Georgenstraße/Bundespolizei;0;4594214;5821680;52.520.116;13.386.485;9702022;
Zwischenpunkt;44;Zwischengeschoss Georgenstraße (Aufzug Zwischengeschoss Ladenstraße/Zugang);-2;4594350;5821679;52.520.083;13.388.488;9702044;
Zwischenpunkt;41;Zwischengeschoss Georgenstraße (Aufzug zum Bahnsteig U6);-2;4594350;5821680;52.520.092;13.388.488;9702041;
Zwischenpunkt;37;Zwischengeschoss Spreeufer (Treppe Reichstagufer/S1/2/25);-1;4594350;5821680;52.520.092;13.388.488;9702037;
Zwischenpunkt;82;Zwischenebene (Rolltreppe zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520.092;13.388.488;9702082;
Zwischenpunkt;33;Zwischengeschoss Spreeufer (Treppe zum Bahnsteig U6);-1;4594350;5821679;52.520.083;13.388.488;9702033;
Zugang;13;Zugang (Durchgang) Friedrich-/Georgenstraße;0;4594357;5821660;52.519.911;13.388.585;9702013;
